Rank,Stadium,Seating capacity,Region,Country,City,Home team(s),location
20,Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,"Persija Jakarta, Indonesia national football team","[-6.12507475, 106.86020095899971]"
21,Lambeau Field,81441,North America,United States,"Green Bay, Wisconsin",Green Bay Packers,"[44.50095825, -88.06103404376007]"
22,SIGNAL IDUNA PARK,81365,Europe,Germany,Dortmund,Borussia Dortmund,"[51.4924922, 7.451854850900588]"
23,Stade de France,81338,Europe,France,Saint-Denis,France national football team,"[48.924472550000004, 2.3601325226927248]"
24,Grand Sports Arena of the Luzhniki Olympic Complex,81000,Europe,Russia,Moscow,No team,"[55.7157445, 37.553767298728005]"
25,Shah Alam Stadium,80372,Southeast Asia,Malaysia,"Shah Alam, Selangor",Selangor FA,"[3.0806013500000002, 101.54465519922721]"
26,Estadio Monumental,80093,South America,Peru,Lima,Club Universitario de Deportes,"[-12.055647350000001, -76.93533392205805]"
27,Stadio Giuseppe Meazza,80018,Europe,Italy,"Milan, Lombardy",AC Milan and Internazionale,"[45.478200349999995, 9.123963993342393]"
28,Guangdong Olympic Stadium,80012,East Asia,China,"Guangzhou, Guangdong",No team,"[23.13803625, 113.4034296289701]"
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",No team,"[30.2317101, 120.2254883982873]"
30,AT&T Stadium,80000,North America,United States,"Arlington, Texas","Dallas Cowboys, FC Dallas","[32.74785025, -97.09283370737742]"
31,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,Congo DR national football team,"[-4.3301897, 15.31036353445758]"
32,Stade Tata Raphaël,80000,Africa,DR Congo,Kinshasa,"AS Vita Club, DC Motema Pembe","[-4.3379266, 15.322629719585613]"
33,National Sports Stadium,80000,Africa,Zimbabwe,Harare,Zimbabwe national football team,"[-17.821414949999998, 30.99507351306328]"
34,Moi International Sports Centre,80000,Africa,Kenya,Nairobi,Kenya national football team,"[-1.2275475, 36.89018198200233]"
35,Beijing National Stadium,80000,East Asia,China,Beijing,No team,"[39.99152275, 116.39028241977488]"
36,Stade Léopold Sédar Senghor,80000,Africa,Senegal,Dakar,"Senegal national football team, ASC Jeanne d'Arc","[14.74677165, -17.451914038718378]"
